Capacitance (µF)	10V	16V	25V	35V	50V	63V	100V	160V	250V	350V	450V
1			2.10	2.40	4.50	4.50	8.50	9.50	8.70	8.50	3.60
2.2			2.00	2.40	4.50	4.50	2.30	4.00	6.10	4.20	3.60
3.3			2.00	2.30	4.70	4.50	2.20	3.10	4.60	1.60	3.50
4.7			2.00	2.20	3.00	3.80	2.00	3.00	3.50	1.60	5.65
10		8.00	5.30	2.20	1.60	1.90	2.00	1.20	1.40	1.20	6.50
22	5.40	3.60	1.50	1.50	0.80	0.90	1.50	1.10	0.70	1.10	1.50
33	4.60	2.00	1.20	1.20	0.60	0.80	1.20	1.00	0.50	1.10	
47	2.20	1.00	0.90	0.70	0.50	0.60	0.70	0.50	0.40	1.10	
100	1.20	0.70	0.30	0.30	0.30	0.40	0.15	0.30	0.20		
220	0.60	0.30	0.25	0.20	0.20	0.10	0.10	0.20	0.20		
330	0.24	0.20	0.25	0.10	0.20	0.10	0.10	0.10	0.20		
470	0.24	0.18	0.12	0.10	0.10	0.10	0.10	0.10	0.15		
1000	0.12	0.15	0.08	0.10	0.10	0.10	0.10	0.10	0.10		
2200	0.12	0.14	0.14	0.10	0.10	0.10	0.10	0.10	0.10		
3300	0.12	0.13	0.12	0.10	0.10	0.10	0.10	0.10	0.10		
4700	0.12	0.12	0.12	0.10	0.10	0.10	0.10	0.10	0.10		
